"BP_1_pol_S1_L001"	"O_N_1_S10_L001"	"O_N_2_S11_L001"	"O_N_3_S12_L001"	"X_1_pol_S13_L001"	"X_2_pol_S14_L001"	"X_3_pol_S15_L001"	"X_N_1_S16_L001"	"X_N_2_S17_L001"	"X_N_3_S18_L001"	"BP_2_pol_S2_L001"	"BP_3_pol_S3_L001"	"BP_N_1_S4_L001"	"BP_N_2_S5_L001"	"BP_N_3_S6_L001"	"Oci_1_pol_S7_L001"	"Oci_2_pol_S8_L001"	"Oci_3_pol_S9_L001"
"100302106"	13.4900055943492	13.3394017396336	13.6637559467734	13.7115171083359	13.4089489827176	13.6982333632537	13.4122085911605	13.6845151444514	13.5896101365076	13.6216748985943	13.6248615474378	13.586880926401	13.691213991604	13.6017663399725	13.6490207380833	13.8436138523084	13.7732539756079	13.6118977394473
"100302584"	10.2370223949711	9.84292042722109	10.407460787035	10.2643705189889	9.97577786077529	10.2519277894423	9.96735644118746	10.1314917108616	10.0123372814782	10.1609978854874	10.1214374489113	10.189343085198	10.041712620416	10.2284271423619	10.1797444530239	10.1988770254537	10.1740828855438	10.2126532858617
"100315671"	7.07379758862124	7.08772315002036	7.16451358136053	6.97519659590426	7.2219146682047	7.12678383936824	7.11320000047859	7.05537942339411	6.95167088418069	7.24757592465937	6.94451926362262	6.8653680781545	7.22320723459522	7.13992085014241	7.2456151869653	7.21514008376486	7.35642434282694	7.34784648109361
"100315677"	8.17479940496089	8.03286280140526	8.10212528339509	8.1116202784815	8.41547592524919	8.6058946853032	8.48039270256124	8.58611527370061	8.49642849984201	8.65406027667383	8.33111486525967	7.84552465966572	8.49270558661908	8.24648509555075	8.54916294515415	8.26342864959394	8.20301597388912	8.27911418229544
"100328599"	9.92189432002238	9.95644384725548	9.89856298958167	9.96036038144294	10.2145341267536	9.99802527938701	9.70955334325945	10.0786805376863	10.0966287945953	9.99882481078216	10.0600139359387	9.90467324074671	9.94293069397011	9.90490451084805	9.71764597027925	10.0540462761247	10.4332776842929	10.5585613441757
"100359409"	11.9923759894103	11.7488230253435	12.1383821468079	12.1719235572023	11.8522241463132	12.1588676815151	11.813803488722	12.1069973731381	12.0031360030016	12.2339862365861	12.1224511512016	11.9748145536193	11.9984028063358	12.1406125094603	12.1902664947884	12.2260181847469	12.0346039676172	11.85100118326
"100359410"	11.7762375057117	11.4544728116483	12.1378599077609	12.1233358459616	11.5190242906716	12.0609109629363	11.5324267491624	11.8199974425386	11.8723337294965	12.1669878148089	11.9315001203826	11.8127571798551	11.5003099587098	11.8527365939237	12.0311429220614	11.9809552756066	11.7752329916441	11.7312833892386
"100379261"	13.8142259304769	13.7641295656716	13.8751620100728	13.8201644497834	13.666423486908	13.8714460692194	13.8430215301067	13.6902069465387	13.659384164179	13.762672240198	13.697998329187	13.8708207505766	13.7501752793345	13.7840193856139	13.7273670149617	13.733373428054	14.0096799100439	14.0113868115654
"100576082"	7.96043731123777	8.10612656202861	7.88688855021807	8.17237314035235	8.30025907472589	8.14137067001625	8.4926469112591	8.35976406905736	8.00825570834741	7.95323441382118	8.04264039020776	8.39337949446935	8.38195097871394	8.09369847966715	8.08647380458247	7.92956056118573	7.88584630283925	8.28411317693737
"100576085"	11.6769175410264	11.6968826207715	11.5681436087141	11.6150124634425	11.5750477618519	11.5202511268761	11.6687764943679	11.6507709948025	11.674292364462	11.5706862319389	11.667647276707	11.6732892786037	11.6550074539642	11.6990807309306	11.6509313670764	11.4943868297105	11.485577514206	11.4887559393573
"100576088"	9.44289037342073	9.21297961497406	9.46237288655521	9.48790131504173	9.20133557082275	9.58885817535673	9.21899420396668	9.61412914899524	9.52546686716302	9.36807981283174	9.51356469181963	9.45034163779916	9.42003362630589	9.45492373429796	9.59244463776404	9.50485760996898	9.53374356952202	9.23976755005434
"100576098"	9.03427154624826	8.65963415389397	9.16927551370103	8.91850040289775	9.11770255729079	9.13734223078009	8.96491367158389	9.07231606945337	8.84823827714185	9.06920267107131	9.05401583874216	8.90172962497473	9.10468350891903	9.00095829026519	8.97133808562629	8.94899565427634	8.82413298510862	8.78503491206721
"100576101"	10.9535956738527	10.8433645927709	11.0396121223417	10.9171022238534	11.0242207212075	10.8748741548974	10.9488074411345	11.0202641065062	10.9245605150363	10.8553168307834	10.9748662825288	10.9535660454076	10.8625073541399	10.8501504503873	10.8593497080926	10.9600048361463	10.7709428569724	10.8823554058958
