lists,background,MEdarkorange,MEsaddlebrown,MEsalmon,MEdarkturquoise,MEsteelblue,MEmidnightblue,MEtan,MElightcyan,MEgreen,MEsienna3,MEdarkred,MEgreenyellow,MEwhite,MEdarkgrey,MEdarkolivegreen,MEred,MEpink,MEpurple,MEdarkmagenta,MEbrown,MElightgreen,MEyellow,MEdarkgreen
NA,GB11702,GB43618,GB48007,GB44065,GB46678,GB46677,GB44399,GB43575,GB46438,GB40460,GB51710,GB43782,GB42203,GB44912,GB43162,GB46452,GB41171,GB41430,GB42666,GB47107,GB40670,GB43592,GB41223,GB44558
NA,GB11704,GB43685,GB48046,GB44146,GB46686,GB46956,GB44709,GB43823,GB46487,GB40492,GB51741,GB43863,GB42222,GB45229,GB43210,GB46580,GB41206,GB41662,GB42675,GB47134,GB40700,GB43676,GB41233,GB44664
NA,GB11726,GB43718,GB48355,GB44422,GB47718,GB47551,GB44824,GB43876,GB46500,GB40534,GB51764,GB43955,GB42374,GB45260,GB43420,GB46586,GB41234,GB41684,GB42728,GB48126,GB40716,GB43691,GB41294,GB44678
NA,GB11729,GB44005,GB48425,GB44424,GB47902,GB47957,GB44888,GB43892,GB46645,GB40539,GB52073,GB44037,GB42432,GB45382,GB43552,GB46610,GB41252,GB41785,GB42739,GB48223,GB40750,GB43820,GB41305,GB44692
NA,GB11848,GB44276,GB48539,GB44493,GB47975,GB48975,GB44999,GB43963,GB46900,GB40576,GB52363,GB44114,GB42448,GB45923,GB43628,GB46878,GB41313,GB41847,GB42762,GB48289,GB40758,GB43913,GB41333,GB44713
NA,GB11862,GB44396,GB48655,GB44550,GB48172,GB50001,GB45073,GB43969,GB46952,GB40595,GB52531,GB44123,GB42516,GB45982,GB43636,GB46910,GB41342,GB41850,GB42840,GB48634,GB40771,GB44030,GB41411,GB44734
NA,GB11943,GB44460,GB48709,GB44708,GB48174,GB50052,GB45274,GB44006,GB47339,GB40604,GB52724,GB44156,GB42559,GB46253,GB43889,GB46929,GB41360,GB41852,GB42844,GB48669,GB40816,GB44064,GB41470,GB44918
NA,GB11993,GB44526,GB48727,GB44808,GB48194,GB50053,GB45303,GB44192,GB47503,GB40653,GB53080,GB44304,GB42644,GB46307,GB43904,GB46972,GB41472,GB42000,GB42894,GB48681,GB40818,GB44155,GB41643,GB45037
NA,GB12004,GB44614,GB48967,GB45040,GB48643,GB50116,GB45406,GB44457,GB47791,GB40707,GB53314,GB44310,GB42650,GB46321,GB44061,GB47102,GB41491,GB42023,GB43089,GB48927,GB40836,GB44197,GB41645,GB45375
NA,GB12020,GB44980,GB49268,GB45107,GB48692,GB50138,GB45431,GB44564,GB47983,GB40735,GB53404,GB44338,GB42668,GB46751,GB44176,GB47195,GB41517,GB42043,GB43094,GB48928,GB40845,GB44387,GB41659,GB45511
NA,GB12060,GB45836,GB49392,GB45120,GB48917,GB50179,GB45512,GB44710,GB48022,GB40760,GB53798,GB44366,GB42861,GB46897,GB44208,GB47201,GB41600,GB42052,GB43168,GB48980,GB40874,GB44552,GB41728,GB45513
NA,GB12093,GB45929,GB49503,GB45538,GB49323,GB50180,GB45596,GB44871,GB48029,GB40777,GB53805,GB44427,GB42979,GB47110,GB44346,GB47229,GB41623,GB42054,GB43214,GB49017,GB40936,GB44600,GB41761,GB45544
NA,GB12094,GB45968,GB49808,GB45654,GB49372,GB50225,GB45841,GB44981,GB48100,GB40779,GB54732,GB44515,GB43100,GB47230,GB44495,GB47269,GB41647,GB42145,GB43261,GB49132,GB40963,GB44663,GB41768,GB45567
NA,GB12155,GB46096,GB49870,GB45715,GB49376,GB50262,GB45950,GB44982,GB48935,GB40800,GB55388,GB44579,GB43104,GB47414,GB44516,GB47391,GB41656,GB42236,GB43265,GB49343,GB41047,GB44686,GB41770,GB45657
NA,GB12181,GB46312,GB50006,GB45875,GB49878,GB50889,GB46013,GB45023,GB48965,GB40805,GB55635,GB44927,GB43158,GB47575,GB44538,GB47547,GB41710,GB42304,GB43309,GB49479,GB41058,GB44868,GB41792,GB46028
NA,GB12212,GB46338,GB50123,GB45887,GB49981,GB50931,GB46156,GB45147,GB49147,GB40875,GB55718,GB44943,GB43163,GB47596,GB44541,GB48074,GB41755,GB42359,GB43375,GB49529,GB41097,GB45062,GB41829,GB46041
NA,GB12243,GB46427,GB50124,GB45942,GB50050,GB50932,GB46231,GB45148,GB49347,GB40882,GB55921,GB44970,GB43185,GB47651,GB44572,GB48086,GB41759,GB42361,GB43446,GB49551,GB41126,GB45063,GB41898,GB46047
NA,GB12262,GB46429,GB50232,GB45943,GB50055,GB50933,GB46302,GB45199,GB49476,GB40949,LOC100577044,GB45014,GB43186,GB47661,GB44592,GB48105,GB41769,GB42372,GB43459,GB49806,GB41197,GB45075,GB41900,GB46112
NA,GB12296,GB47041,GB50238,GB46103,GB50136,GB51299,GB46579,GB45408,GB49734,GB41025,LOC102653825,GB45046,GB43219,GB47683,GB44697,GB48169,GB41831,GB42373,GB43502,GB49957,GB41222,GB45157,GB41904,GB46255
NA,GB12343,GB47278,GB50407,GB46305,GB50148,GB51373,GB46635,GB45440,GB49802,GB41039,LOC102654020,GB45397,GB43304,GB47783,GB44880,GB48531,GB41834,GB42469,GB43621,GB50106,GB41246,GB45192,GB41945,GB46314
NA,GB12479,GB47299,GB50679,GB46403,GB50530,GB51515,GB46763,GB45701,GB49959,GB41084,LOC102654839,GB45423,GB43311,GB47816,GB44940,GB48551,GB41841,GB42750,GB43693,GB50455,GB41341,GB45273,GB41967,GB46501
NA,GB12493,GB47379,GB50866,GB46496,GB50545,GB51566,GB46902,GB45717,GB50014,GB41110,LOC102654870,GB45436,GB43631,GB47879,GB45050,GB49084,GB41872,GB42780,GB43722,GB50457,GB41347,GB45294,GB42015,GB46585
NA,GB12506,GB47849,GB50974,GB46541,GB50795,GB51613,GB47042,GB45775,GB50217,GB41134,LOC102655184,GB45557,GB43809,GB47961,GB45156,GB49096,GB41916,GB42796,GB43786,GB51211,GB41372,GB45478,GB42016,GB46639
NA,GB12518,GB48134,GB51059,GB46630,GB51104,GB51729,GB47248,GB46223,GB50218,GB41150,LOC102656130,GB45662,GB43857,GB48254,GB45249,GB49409,GB42010,GB42817,GB43827,GB51283,GB41413,GB45499,GB42020,GB46655
NA,GB12558,GB48301,GB51095,GB47028,GB51223,GB51783,GB47273,GB46225,GB50443,GB41151,LOC102656309,GB45825,GB43860,GB48370,GB45254,GB49704,GB42024,GB42850,GB43870,GB51553,GB41418,GB45509,GB42039,GB46765
NA,GB12637,GB48321,GB51214,GB47202,GB51290,GB52702,GB47285,GB46226,GB50526,GB41152,LOC102656359,GB45906,GB43874,GB48416,GB45297,GB50097,GB42190,GB42888,GB44011,GB51705,GB41439,GB45510,GB42139,GB47349
NA,GB12765,GB48382,GB51231,GB47270,GB51339,GB53576,GB47304,GB46227,GB50561,GB41162,LOC102656549,GB45910,GB44000,GB48749,GB45314,GB50173,GB42192,GB42912,GB44046,GB51973,GB41460,GB45548,GB42188,GB47383
NA,GB12811,GB48407,GB51479,GB47303,GB51487,GB53578,GB47474,GB46230,GB50586,GB41207,LOC107964838,GB45913,GB44060,GB48821,GB45343,GB50287,GB42207,GB42963,GB44074,GB52347,GB41518,GB45732,GB42194,GB47567
NA,GB12897,GB48993,GB51494,GB47401,GB51903,GB53579,GB47497,GB46297,GB50661,GB41212,LOC107965033,GB46029,GB44293,GB48923,GB45355,GB50345,GB42237,GB43039,GB44159,GB52631,GB41604,GB45810,GB42206,GB47576
NA,GB12898,GB49688,GB51528,GB47662,GB52004,GB54136,GB47736,GB46367,GB50668,GB41226,LOC107965076,GB46065,GB44334,GB48932,GB45360,GB50367,GB42238,GB43084,GB44189,GB52992,GB41618,GB45975,GB42210,GB47806
NA,GB12942,GB49751,GB51653,GB47669,GB52036,GB54316,GB47934,GB46410,GB50824,GB41227,LOC107965338,GB46067,GB44368,GB49019,GB45363,GB50369,GB42263,GB43098,GB44220,GB53171,GB41625,GB46472,GB42224,GB47821
NA,GB12972,GB49908,GB51787,GB47723,GB52376,GB54319,GB48195,GB46444,GB51029,GB41242,LOC107965773,GB46178,GB44433,GB49354,GB45420,GB50822,GB42355,GB43189,GB44330,GB53196,GB41674,GB46598,GB42230,GB47831
NA,GB13012,GB49955,GB51979,GB47890,GB52410,GB54499,GB48277,GB46629,GB51391,GB41269,LOC113218576,GB46219,GB44606,GB49428,GB45457,GB50947,GB42382,GB43191,GB44365,GB53271,GB41680,GB46663,GB42233,GB47901
NA,GB13072,GB50087,GB52184,GB48066,GB52511,GB54605,GB48343,GB46726,GB51697,GB41311,LOC113219271,GB46423,GB44787,GB49432,GB45664,GB51246,GB42411,GB43198,GB44367,GB53831,GB41703,GB46687,GB42277,GB47968
NA,GB13684,GB50192,GB52325,GB48136,GB52571,GB54783,GB48362,GB46737,GB51698,GB41330,LOC113219326,GB46459,GB44862,GB49468,GB45693,GB52524,GB42436,GB43234,GB44452,GB54228,GB41742,GB46766,GB42301,GB47992
NA,GB13692,GB50272,GB52331,GB48238,GB52620,GB54890,GB48435,GB46814,GB51793,GB41338,LOC411058,GB46641,GB44876,GB49491,GB45872,GB52651,GB42456,GB43238,GB44482,GB54508,GB41754,GB46976,GB42356,GB48207
NA,GB13746,GB50411,GB52948,GB48492,GB52781,GB55007,GB48497,GB46984,GB51820,GB41412,Mir318,GB46735,GB44881,GB49517,GB46173,GB52812,GB42597,GB43258,GB44523,GB54753,GB41806,GB47021,GB42384,GB48488
NA,GB13748,GB50441,GB53104,GB48557,GB52957,GB55144,GB48511,GB47079,GB51967,GB41520,NA,GB46786,GB44905,GB49601,GB46189,GB53172,GB42649,GB43300,GB44588,GB55012,GB41824,GB47030,GB42418,GB48538
NA,GB13806,GB50482,GB54153,GB48573,GB53178,GB55207,GB48697,GB47279,GB52039,GB41525,NA,GB46894,GB44909,GB49642,GB46206,GB53316,GB42661,GB43404,GB44643,GB55278,GB41869,GB47082,GB42426,GB48599
NA,GB13886,GB50505,GB54355,GB48868,GB53300,GB55280,GB48850,GB47520,GB52205,GB41545,NA,GB46917,GB44910,GB49933,GB46450,GB53317,GB42721,GB43416,GB44772,GB55513,GB41962,GB47090,GB42527,GB48630
NA,GB13929,GB50540,GB54723,GB49022,GB53329,GB55746,GB48961,GB47885,GB52290,GB41624,NA,GB46963,GB44950,GB49998,GB46465,GB53664,GB42726,GB43508,GB44773,GB55517,GB41979,GB47277,GB42533,GB48831
NA,GB14026,GB50548,GB54817,GB49067,GB53345,LOC100577071,GB49053,GB47931,GB52369,GB41631,NA,GB47076,GB45020,GB50038,GB46627,GB53846,GB42743,GB43534,GB44802,GB55898,GB42053,GB47338,GB42541,GB48924
NA,GB14115,GB50734,GB54818,GB49078,GB53520,LOC100577278,GB49336,GB47970,GB52736,GB41657,NA,GB47151,GB45035,GB50259,GB46714,GB53864,GB42759,GB43543,GB44863,GB55963,GB42156,GB47429,GB42560,GB49041
