"Phero_genes"	"Food_genes"	"interxn_genes"	"allDEG"	"Food_down"	"Food_up"	"EBO_down"	"EBO_up"	"BP_up"	"BP_down"	"BPvEBO_up"	"BPvEBO_down"	"background"
"410837"	"410479"		"410837"	"726814"							"726814"	"100576744"
"724971"	"551710"		"724971"	"726818"							"726818"	"100576745"
"725578"	"726586"		"725578"	"726860"							"726860"	"100576746"
"113219060"	"100576151"		"113219060"	"726886"							"726886"	"100576747"
"411822"	"725274"		"411822"	"726887"							"726887"	"100576748"
"726860"	"550956"		"726860"	"727007"							"727007"	"100576754"
"102654369"	"550659"		"102654369"	"727110"							"727110"	"100576758"
"725098"	"551552"		"725098"	"727254"							"727254"	"100576759"
"113218991"	"724536"		"113218991"									"100576760"
"411863"	"725938"		"411863"									"100576761"
"102654715"	"412574"		"102654715"									"100576765"
"724235"	"100576600"		"724235"									"100576767"
"413785"	"410710"		"413785"									"100576768"
"100578822"	"725388"		"100578822"									"100576770"
"544670"	"411976"		"544670"									"100576774"
"408981"	"727479"		"408981"									"100576775"
"410479"	"412169"		"410479"									"100576781"
"552377"	"552402"		"552377"									"100576784"
"409368"	"411167"		"409368"									"100576789"
"550886"	"726373"		"550886"									"100576794"
"550785"	"726445"		"550785"									"100576795"
"406086"	"552095"		"406086"									"100576796"
"726432"	"410216"		"726432"									"100576799"
"725244"	"409942"		"725244"									"100576801"
"413625"	"409105"		"413625"									"100576805"
"102654640"	"100577214"		"102654640"									"100576812"
"413805"	"406153"		"413805"									"100576814"
"724831"	"408922"		"724831"									"100576817"
"411614"	"100578563"		"411614"									"100576818"
"102655054"	"552139"		"102655054"									"100576819"
"724275"	"413407"		"724275"									"100576820"
	"411420"		"406090"									"100576826"
	"411361"		"406116"									"100576828"
	"102655751"		"406149"									"100576829"
	"411047"		"725382"									"100576838"
	"408714"		"113218518"									"100576840"
	"726710"		"551560"									"100576841"
	"410905"		"406133"									"100576843"
	"408969"		"725202"									"100576847"
	"408818"		"551935"									"100576848"
	"409924"		"727110"									"100576850"
	"410066"		"725305"									"100576851"
	"413370"		"107963970"									"100576853"
	"726742"		"113219195"									"100576855"
	"726223"		"406093"									"100576859"
	"552417"		"107964020"									"100576862"
	"410706"		"100577725"									"100576863"
	"412074"		"726803"									"100576864"
	"409673"		"726750"									"100576866"
	"100576471"		"552391"									"100576871"
	"410692"		"551401"									"100576872"
	"107964089"		"409469"									"100576876"
	"411805"		"410484"									"100576878"
	"724344"		"410824"									"100576879"
	"408579"		"100576745"									"100576880"
	"410638"		"100578084"									"100576882"
	"412810"		"724208"									"100576885"
	"410229"		"724421"									"100576894"
	"408914"		"410621"									"100576895"
	"411935"		"410828"									"100576896"
	"409781"		"100578053"									"100576898"
	"414037"		"552546"									"100576902"
	"412808"		"552277"									"100576908"
	"100576249"		"100576326"									"100576912"
	"409851"		"107964742"									"100576915"
	"413683"		"552832"									"100576918"
	"100578011"		"107965562"									"100576919"
	"551053"		"100578016"									"100576924"
	"725924"		"409666"									"100576925"
	"724915"		"100576895"									"100576929"
	"725164"		"725462"									"100576930"
	"413676"		"551582"									"100576932"
	"724126"		"410960"									"100576934"
	"726392"		"100576478"									"100576935"
	"112939925"		"413560"									"100576938"
	"102655905"		"725008"									"100576945"
	"724619"		"113218532"									"100576948"
	"102654480"		"551428"									"100576951"
	"408646"		"100577112"									"100576956"
	"552154"		"411609"									"100576958"
	"102656315"		"408444"									"100576960"
	"412484"		"552512"									"100576961"
	"102654354"		"102653713"									"100576963"
	"113219349"		"724776"									"100576965"
	"100576758"		"113218956"									"100576966"
	"100576961"		"408453"									"100576967"
	"408807"		"409095"									"100576968"
			"551579"									"100576972"
			"113219336"									"100576974"
			"551806"									"100576975"
			"102654896"									"100576976"
			"100577890"									"100576983"
			"100578366"									"100576985"
			"410228"									"100576989"
			"102654666"									"100576990"
