,Phero_genes,Food_genes,interxn_genes,allDEG,Food_down,Food_up,EBO_down,EBO_up,BP_up,BP_down,background
426,,411955,,100576839,,,,,,,100577043
427,,411201,,413112,,,,,,,100577044
428,,411577,,551935,,,,,,,100577045
429,,724831,,727110,,,,,,,100577046
430,,550655,,725305,,,,,,,100577047
431,,726223,,107963970,,,,,,,100577050
432,,552417,,726864,,,,,,,100577053
433,,410706,,408603,,,,,,,100577054
434,,727639,,113219195,,,,,,,100577057
435,,412074,,406093,,,,,,,100577060
436,,724160,,677677,,,,,,,100577064
437,,100576471,,724838,,,,,,,100577065
438,,409673,,551719,,,,,,,100577068
439,,551250,,100577725,,,,,,,100577069
440,,411229,,726803,,,,,,,100577071
441,,107964089,,102655131,,,,,,,100577073
442,,410692,,725114,,,,,,,100577080
443,,411805,,100576949,,,,,,,100577081
444,,107965657,,552418,,,,,,,100577082
445,,408579,,406131,,,,,,,100577091
446,,410638,,552523,,,,,,,100577092
447,,412810,,409306,,,,,,,100577094
448,,410229,,677665,,,,,,,100577098
449,,408914,,727028,,,,,,,100577101
450,,551409,,726371,,,,,,,100577102
451,,411729,,552391,,,,,,,100577106
452,,724344,,413264,,,,,,,100577107
453,,100578542,,551401,,,,,,,100577110
454,,411935,,100577712,,,,,,,100577112
455,,409781,,410603,,,,,,,100577113
456,,408452,,552251,,,,,,,100577118
457,,726997,,100577894,,,,,,,100577120
458,,100576247,,409469,,,,,,,100577121
459,,406096,,406081,,,,,,,100577122
460,,414037,,100576742,,,,,,,100577127
461,,412808,,412763,,,,,,,100577128
462,,100576249,,102656186,,,,,,,100577132
463,,409851,,726421,,,,,,,100577135
464,,100577743,,100576414,,,,,,,100577136
465,,100578011,,551587,,,,,,,100577138
466,,551053,,410734,,,,,,,100577139
467,,724915,,410484,,,,,,,100577140
468,,409807,,410824,,,,,,,100577142
469,,725164,,100578442,,,,,,,100577145
470,,413676,,100576745,,,,,,,100577146
471,,724126,,727546,,,,,,,100577147
472,,408828,,725832,,,,,,,100577149
473,,726392,,100577805,,,,,,,100577150
474,,102655905,,100578084,,,,,,,100577151
475,,112939925,,724208,,,,,,,100577155
476,,724619,,724654,,,,,,,100577156
477,,725924,,113219221,,,,,,,100577159
478,,408646,,726286,,,,,,,100577161
479,,552154,,724777,,,,,,,100577163
480,,100577030,,724421,,,,,,,100577165
481,,412484,,410828,,,,,,,100577168
482,,725988,,100577918,,,,,,,100577174
483,,725668,,552546,,,,,,,100577178
484,,725660,,100576895,,,,,,,100577180
485,,100576758,,551496,,,,,,,100577181
486,,726412,,552277,,,,,,,100577188
487,,100576961,,100576326,,,,,,,100577189
488,,100577541,,552005,,,,,,,100577192
489,,726370,,552832,,,,,,,100577194
490,,408807,,107965562,,,,,,,100577196
491,,100577772,,726165,,,,,,,100577197
492,,,,406065,,,,,,,100577198
493,,,,725462,,,,,,,100577202
494,,,,410399,,,,,,,100577209
495,,,,100578263,,,,,,,100577213
496,,,,551582,,,,,,,100577214
497,,,,410960,,,,,,,100577220
498,,,,552459,,,,,,,100577221
499,,,,552561,,,,,,,100577222
500,,,,413560,,,,,,,100577224
501,,,,725154,,,,,,,100577226
502,,,,113218532,,,,,,,100577228
503,,,,100576773,,,,,,,100577229
504,,,,100577112,,,,,,,100577231
505,,,,727037,,,,,,,100577235
506,,,,100576270,,,,,,,100577237
