"","Phero_genes","Food_genes","interxn_genes","allDEG","Food_down","Food_up","EBO_down","EBO_up","BP_up","BP_down","BPvEBO_up","BPvEBO_down","background"
"86","100577386","725146","102656585","100577386","408455",NA,"413789",NA,NA,NA,NA,"408455","100576277"
"87","726631","551428","411047","726631","408456",NA,"544670",NA,NA,NA,NA,"408456","100576279"
"88","107964221","100577112","408818","107964221","408470",NA,"550686",NA,NA,NA,NA,"408470","100576283"
"89","727634","113218744","412667","727634","408474",NA,"550785",NA,NA,NA,NA,"408474","100576286"
"90","408796","100577346","552095","408796","408525",NA,"550791",NA,NA,NA,NA,"408525","100576288"
"91","726002","411609","552402","726002","408544",NA,"550804",NA,NA,NA,NA,"408544","100576289"
"92","411125","100578341","411167","411125","408572",NA,"550886",NA,NA,NA,NA,"408572","100576290"
"93","410710","408444","409703","410710","408732",NA,"551167",NA,NA,NA,NA,"408732","100576291"
"94","724851","100576508","413785","724851","408864",NA,"551223",NA,NA,NA,NA,"408864","100576296"
"95","102655814","552512","724251","102655814","408965",NA,"551233",NA,NA,NA,NA,"408965","100576298"
"96","409167","102653713","552070","409167","408989",NA,"551241",NA,NA,NA,NA,"408989","100576300"
"97","409781","724776","100576151","409781","409025",NA,"551280",NA,NA,NA,NA,"409025","100576307"
"98","409921","113218956","408291","409921","409061",NA,"551643",NA,NA,NA,NA,"409061","100576321"
"99","410577","408453","102655188","410577","409095",NA,"551758",NA,NA,NA,NA,"409095","100576326"
"100","408446","408474","408572","408446","409124",NA,"551765",NA,NA,NA,NA,"409124","100576333"
"101","409650","411691","551379","409650","409228",NA,"551837",NA,NA,NA,NA,"409228","100576336"
"102","409452","409095","552493","409452","409368",NA,"551950",NA,NA,NA,NA,"409368","100576337"
"103","410567","551579","411863","410567","409469",NA,"552286",NA,NA,NA,NA,"409469","100576346"
"104","727101","409602","100576924","727101","409602",NA,"552377",NA,NA,NA,NA,"409602","100576348"
"105","100577530","727254","725258","100577530","409666",NA,"552447",NA,NA,NA,NA,"409666","100576355"
"106","412069","113219336","102655238","412069","409816",NA,"552712",NA,NA,NA,NA,"409816","100576359"
"107","726210","551806","102656661","726210","409861",NA,"724211",NA,NA,NA,NA,"409861","100576366"
"108","409932","102654896","409228","409932","410059",NA,"724235",NA,NA,NA,NA,"410059","100576369"
"109","408953","100577890","411452","408953","410228",NA,"724293",NA,NA,NA,NA,"410228","100576373"
"110","410271","552712","100578816","410271","410282",NA,"724552",NA,NA,NA,NA,"410282","100576374"
"111","409640","100578366","411983","409640","410288",NA,"724583",NA,NA,NA,NA,"410288","100576378"
"112","726423","410228","411691","726423","410479",NA,"724865",NA,NA,NA,NA,"410479","100576381"
"113","100578051","102654666","113219416","100578051","410484",NA,"724907",NA,NA,NA,NA,"410484","100576383"
"114","409736","107965272","408525","409736","410517",NA,"724919",NA,NA,NA,NA,"410517","100576384"
"115","410896","726247","724583","410896","410583",NA,"724951",NA,NA,NA,NA,"410583","100576392"
"116","408871","100576307","100576508","408871","410621",NA,"724971",NA,NA,NA,NA,"410621","100576395"
"117","409712","725776","411846","409712","410626",NA,"724993",NA,NA,NA,NA,"410626","100576400"
"118","408742","102654792","100576478","408742","410788",NA,"725026",NA,NA,NA,NA,"410788","100576401"
"119","100578515","100578173","725325","100578515","410824",NA,"725031",NA,NA,NA,NA,"410824","100576402"
"120","408572","410788","408453","408572","410828",NA,"725038",NA,NA,NA,NA,"410828","100576404"
"121","100577002","410583","107966053","100577002","410829",NA,"725098",NA,NA,NA,NA,"410829","100576405"
"122","551280","724390","724907","551280","410837",NA,"725146",NA,NA,NA,NA,"410837","100576411"
"123","409203","726887","100577198","409203","410893",NA,"725258",NA,NA,NA,NA,"410893","100576412"
"124","410278","411846","724951","410278","410960",NA,"725290",NA,NA,NA,NA,"410960","100576413"
"125","725290","725500","725026","725290","411100",NA,"725325",NA,NA,NA,NA,"411100","100576418"
"126","406152","411207","724275","406152","411159",NA,"725343",NA,NA,NA,NA,"411159","100576421"
"127","413025","102654625","410271","413025","411207",NA,"725489",NA,NA,NA,NA,"411207","100576422"
"128","550998","412663","408329","550998","411253",NA,"725578",NA,NA,NA,NA,"411253","100576423"
"129","100578121","100577693","413789","100578121","411272",NA,"726210",NA,NA,NA,NA,"411272","100576425"
"130","551053","410829","408470","551053","411303",NA,"726251",NA,NA,NA,NA,"411303","100576428"
"131","413906","412163","102655332","413906","411452",NA,"726441",NA,NA,NA,NA,"411452","100576432"
"132","678511","551077","411317","678511","411609",NA,"726690",NA,NA,NA,NA,"411609","100576433"
"133","413816","100576277","724765","413816","411691",NA,"726798",NA,NA,NA,NA,"411691","100576435"
"134","409786","724378",NA,"409786","411813",NA,"726860",NA,NA,NA,NA,"411813","100576436"
"135","412810","107965165",NA,"412810","411846",NA,"727007",NA,NA,NA,NA,"411846","100576438"
"136","100578226","408455",NA,"100578226","411863",NA,"727101",NA,NA,NA,NA,"411863","100576439"
"137","413789","410288",NA,"413789","411983",NA,"727254",NA,NA,NA,NA,"411983","100576446"
"138","724211","413749",NA,"724211","412163",NA,"768250",NA,NA,NA,NA,"412163","100576449"
"139","725126","409025",NA,"725126","412166",NA,NA,NA,NA,NA,NA,"412166","100576452"
"140","107964820","411159",NA,"107964820","412304",NA,NA,NA,NA,NA,NA,"412304","100576454"
"141","411563","726361",NA,"411563","412602",NA,NA,NA,NA,NA,NA,"412602","100576457"
"142","100576734","408572",NA,"100576734","412663",NA,NA,NA,NA,NA,NA,"412663","100576461"
"143","724293","100578929",NA,"724293","412694",NA,NA,NA,NA,NA,NA,"412694","100576467"
"144","102653894","100578361",NA,"102653894","412859",NA,NA,NA,NA,NA,NA,"412859","100576471"
"145","410997","724583",NA,"410997","413000",NA,NA,NA,NA,NA,NA,"413000","100576472"
"146","408302","100577772",NA,"408302","413186",NA,NA,NA,NA,NA,NA,"413186","100576478"
"147","726375","552286",NA,"726375","413560",NA,NA,NA,NA,NA,NA,"413560","100576482"
"148","100576547","408864",NA,"100576547","413749",NA,NA,NA,NA,NA,NA,"413749","100576484"
"149","412209","726205",NA,"412209","413785",NA,NA,NA,NA,NA,NA,"413785","100576487"
"150","412231","100576681",NA,"412231","413867",NA,NA,NA,NA,NA,NA,"413867","100576488"
"151","408622","408525",NA,"408622","413997",NA,NA,NA,NA,NA,NA,"413997","100576492"
"152","551167","726126",NA,"551167","550659",NA,NA,NA,NA,NA,NA,"550659","100576497"
"153","410780","107965038",NA,"410780","550671",NA,NA,NA,NA,NA,NA,"550671","100576498"
"154","408868","411452",NA,"408868","550686",NA,NA,NA,NA,NA,NA,"550686","100576502"
"155","102655332","100578816",NA,"102655332","550804",NA,NA,NA,NA,NA,NA,"550804","100576503"
"156","725922","100577699",NA,"725922","550956",NA,NA,NA,NA,NA,NA,"550956","100576504"
"157","408478","726814",NA,"408478","551005",NA,NA,NA,NA,NA,NA,"551005","100576506"
"158","408888","408456",NA,"408888","551077",NA,NA,NA,NA,NA,NA,"551077","100576508"
"159","412540","551850",NA,"412540","551233",NA,NA,NA,NA,NA,NA,"551233","100576512"
"160","408456","411813",NA,"408456","551241",NA,NA,NA,NA,NA,NA,"551241","100576514"
"161","100577717","552738",NA,"100577717","551401",NA,NA,NA,NA,NA,NA,"551401","100576515"
"162","411317","411253",NA,"411317","551428",NA,NA,NA,NA,NA,NA,"551428","100576519"
"163","552281","409228",NA,"552281","551552",NA,NA,NA,NA,NA,NA,"551552","100576527"
"164","408299","413000",NA,"408299","551553",NA,NA,NA,NA,NA,NA,"551553","100576528"
"165","408817","100577017",NA,"408817","551560",NA,NA,NA,NA,NA,NA,"551560","100576530"
"166","413190","550671",NA,"413190","551579",NA,NA,NA,NA,NA,NA,"551579","100576531"
"167","406094","408470",NA,"406094","551582",NA,NA,NA,NA,NA,NA,"551582","100576532"
"168","410829","113219297",NA,"410829","551678",NA,NA,NA,NA,NA,NA,"551678","100576534"
"169","408650","725606",NA,"408650","551710",NA,NA,NA,NA,NA,NA,"551710","100576540"
"170","410489","551799",NA,"410489","551765",NA,NA,NA,NA,NA,NA,"551765","100576542"
"171","408474","725688",NA,"408474","551799",NA,NA,NA,NA,NA,NA,"551799","100576543"
