"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GB54294",2553.4107997148,-0.00491439618147142,0.0783806773693999,32.6201510522803,8.2532347780946e-08,1.84447511389256e-06
"GB42489",2598.37833640904,-0.0795359009525101,0.0549332711605589,17.0294002280839,0.000200499237535179,0.00118069717129046
"GB55395",2618.99893441988,-0.0738142337632285,0.0681932505846868,11.0792587635982,0.00392798235032118,0.013595059064944
"GB53365",2386.69803061787,-0.32412501668375,0.0749618922366784,18.8402612963131,8.10754262622039e-05,0.000561064812652919
"GB50828",2116.40394262449,-0.470113454941648,0.112752219494868,19.5094796811624,5.80190101112287e-05,0.000424773716597469
"GB55059",3645.0317333946,0.241404190164138,0.110361048182579,18.4661435646947,9.77525001594282e-05,0.000650714478108744
"GB41867",2270.17377599808,-0.392564652629929,0.0973347990950582,32.887796253052,7.2194777567348e-08,1.65103504755722e-06
"GB52993",2661.56714418434,-0.237563314959445,0.0673377077655916,20.4276557162132,3.66598701302052e-05,0.000289132634568324
"GB48489",2390.49701281176,-0.350843436225686,0.0851537550112609,17.3285389738852,0.000172645622892092,0.00104364319930175
"GB48163",2581.89239689628,0.32967532891936,0.0838319650966079,16.7392840233642,0.000231798520048998,0.00132763954862894
"GB47106",2492.03507368737,-0.0178722546133613,0.0380007136036508,0.876973808324124,0.645011647530841,0.729181050364747
"GB44749",2405.68930435478,0.196411136615088,0.106514261714374,3.68916325241207,0.15809144837473,0.254545699199159
"GB50244",2480.9331692807,0.182927319354571,0.0443124062532575,17.2055149218984,0.000183598828420686,0.00109737922692102
"GB55000",2555.6000449368,0.291694681412795,0.0698928029438253,19.1546830183095,6.92808857196571e-05,0.000493355682292714
"GB42814",2376.74948439453,-0.349735253290301,0.0768544910403402,20.7690487855941,3.0907107238277e-05,0.000251694700362255
"GB46378",2496.89215771871,0.00726392001627575,0.0531815012180717,2.92411369666456,0.23175909085105,0.340326204709225
"GB55639",2520.39816741408,0.219964607751887,0.0952128664261398,5.59911384690588,0.0608370121076934,0.121951164232843
"GB43444",2509.83009750142,-0.0612005119475359,0.0371858517218331,6.41706398705935,0.0404159005478399,0.0881912184887952
"GB53749",2465.41608341845,0.130498198450675,0.107512636918374,2.67625634330716,0.26233625773126,0.374250752924384
"GB48810",2601.64827269109,0.300933703958078,0.0958241673600796,9.87356418178251,0.00717765830206658,0.02213487133704
"GB53206",2617.47538396468,-0.503375667918068,0.0998503938738794,28.0263424957177,8.20648260149671e-07,1.25717796491836e-05
"GB55646",3534.11296720404,-0.0166023929938768,0.0783314106881705,18.9981139597007,7.49224499643659e-05,0.000525610436500975
"GB55617",2719.21167857215,0.376155574341074,0.0942768080480697,27.1323806789615,1.28315285655155e-06,1.83568538144107e-05
"GB41547",2407.09298978537,-0.167730212999497,0.0757139360267183,21.8308306723086,1.81758760268568e-05,0.000164848865656517
"GB45150",2744.26991474922,-0.126913042970724,0.0806513576535856,11.417656452856,0.00331655652216721,0.0118249979198733
"GB51334",2488.51126391678,0.136963581034932,0.0500496009385251,8.58553106773604,0.0136670762228681,0.0370917821522799
"GB43504",2276.72533113799,0.306278922134675,0.123905626208662,7.1508575977025,0.028003415367041,0.0658227267450378
"GB42021",2367.35732791763,-0.25664282475405,0.0688449436431977,14.9287852058203,0.000573133088021939,0.00277650692708261
"GB42739",2400.32202562199,0.0866132704641115,0.0728387802561044,5.76568540194432,0.0559754150855597,0.113941979886238
"GB47462",2421.0626569885,0.078189481359038,0.0487718043016773,6.57343794488679,0.0373762810436461,0.0828916792488647
"GB42865",2468.43774780071,-0.0732012035338191,0.0652625870391205,10.1493679723256,0.00625306218160532,0.0197806957113202
"GB53269",2258.94632578598,-0.290122068990083,0.0910596450817993,15.0670729061281,0.000534843459438532,0.00262505284072889
"GB51749",2385.41451385355,-0.0662031443777621,0.0385201892203176,17.1361006748479,0.000190082886266215,0.00113031114242459
"GB47513",3399.45758692826,0.218381735236598,0.0891057823776223,8.46868004537782,0.0144893696981388,0.0388361366767378
"GB44183",2413.84835921692,-0.4601280930528,0.0991274913636632,23.872730886572,6.54790476114189e-06,7.12342818899674e-05
"GB48229",2487.36464130977,-0.107181936820857,0.062481797054645,15.8106612627637,0.000368772501416347,0.00192486458413135
"GB42019",2446.46799623633,-0.0530482370894305,0.0409523928846852,8.75221750378842,0.0125741928505145,0.0346639176853351
"GB46429",2169.52424102485,0.151477990614254,0.0913111098298709,11.0768955498187,0.00393262642452387,0.0136074419206478
"GB45036",2488.83638005843,-0.0341510028003048,0.0383628001054491,20.4704774924825,3.58832930213295e-05,0.000284414100773407
"GB55444",2517.42770254436,0.070901686251033,0.0289414470820176,8.20825593182565,0.0165044049685736,0.0431671883180913
"GB54341",2300.22767041127,-0.048976985821661,0.0457878197953954,2.13219769808768,0.34434925894155,0.458401929204373
"GB42940",2353.04821201182,-0.130958518136429,0.042805759395386,22.153592440382,1.54670868585429e-05,0.000143767304574641
"GB51897",2955.48826615102,-0.938389824249288,0.153490216205932,40.5267393949898,1.58390947074496e-09,6.25134783619763e-08
"GB51912",2268.08978233913,-0.325912164588418,0.0835518861829811,15.2952370312724,0.000477179171678726,0.00238982865376461
"GB54273",3148.19562763658,-0.175612831479631,0.0908657282707285,6.82200438725658,0.0330081032830171,0.0750296412530426
"GB40282",2038.2497992326,-0.84501498993155,0.159859095139821,29.1198960583629,4.75001426774049e-07,8.02929878180239e-06
"GB50390",2013.06085880403,-0.323173266516429,0.0866024799117028,14.0336520864832,0.000896666963279456,0.00402050847449372
"GB49562",2352.8977871448,-0.519652830500615,0.050315014915052,109.773126310097,1.45568863425925e-24,5.62910383690372e-22
"GB43731",2338.65126897007,0.0767715759528403,0.0714681258837346,2.6047869390203,0.271880276500347,0.384385575938503
"GB52793",2193.17748604106,-0.380184403338442,0.0795945200754597,26.8713357401168,1.46205457247594e-06,2.05476634354245e-05
"GB53310",2817.16566454865,-0.0848742956776435,0.070336728720608,18.7488461495545,8.48671831440111e-05,0.000582879507050982
"GB55619",2439.43554337812,0.173119318760548,0.0355380754612614,28.2980971562332,7.16384661068238e-07,1.13001046475795e-05
"GB45730",2469.32286691866,0.358049504941238,0.0920850578729162,15.3293693135232,0.000469104660938953,0.00235400887858513
"GB46253",2419.56582550157,-0.431058980539936,0.106685663323961,16.9354437551115,0.000210143090162503,0.001225050696009
"GB54758",2287.11011930849,-0.276546762672298,0.044473425036126,50.770107059681,9.44955439181024e-12,6.93021629849945e-10
"GB51843",2055.74770049672,-0.202727145767789,0.0610487111792534,12.7096233668666,0.00173836253021532,0.00688279374746437
"GB42014",2402.90155810128,-0.225044640799733,0.0632095019320404,13.0911430813539,0.00143646285096418,0.00593703618322697
"GB43229",2632.45201874352,0.0579810416634359,0.0377740332003142,2.43249221728604,0.296340511648796,0.409752006625884
"GB54886",2575.81999735706,-0.00219051878122466,0.0340406677449478,0.0730604712598506,0.964128942409716,0.973924463176623
"GB41174",2405.03307476797,-0.583103498830628,0.128724877613429,20.8120457926796,3.0249742184815e-05,0.00024728825113416
"GB48889",2284.89822988499,-0.250415231585896,0.0579672545342664,23.0602544903886,9.82945325695051e-06,9.95505182634487e-05
"GB54953",2338.61492068296,-0.0815969408267865,0.0400369563727578,4.55015892372387,0.102788740326072,0.182432143991794
"GB50917",2331.53005814602,0.2159981061551,0.114742265606887,4.23314914843468,0.120443492949308,0.20613994280125
"GB50099",2396.55865608583,-0.198175727886564,0.0506523761095539,23.4823740332341,7.95916059452973e-06,8.31152605129246e-05
"GB48795",2412.32829000333,0.118064478717885,0.0449510275326038,13.1591472218074,0.00138844118482129,0.00578071711566216
"GB49583",2294.1354060546,0.168420442489527,0.105101698408855,2.57058566003991,0.276569583896204,0.389392914373698
"GB53550",2383.8772185915,0.131345171725044,0.0524461633932304,8.11889496881668,0.0172585521006674,0.0448272711900298
"GB41454",2189.13388461254,-0.0924912237791054,0.0379779514113743,11.3178329887995,0.00348629226972254,0.0123442218795586
"GB49511",3245.3437524682,-0.629242440791717,0.122465891991884,32.0041395696969,1.12302492004353e-07,2.357059375769e-06
"GB48983",2802.08651437868,0.132342948820809,0.066300409704686,6.90058369677865,0.0317363728170663,0.072865752702156
"GB46363",2122.57714128984,0.192518946025048,0.0633014845560367,9.25987393636308,0.00975537398192606,0.0282579073035397
"GB45415",2284.1704909622,0.0279079779505103,0.0446424349450645,1.00653633319803,0.604551652094049,0.69708897012489
"GB49227",2785.80171480966,0.047935009975712,0.068992186093414,1.17805720166609,0.554866019417966,0.654222052461671
"GB41386",2588.33052817835,-0.0314165135541649,0.0402310285893543,0.616642631288983,0.734679216153657,0.8019156902044
"GB53946",2265.14619528735,0.215377393983698,0.115060604193051,4.78775456085236,0.0912750977568785,0.166707188187064
"GB40140",2445.91445580292,0.38544668672254,0.0932721338442475,17.070547845273,0.000196416348900038,0.0011598653532223
"GB44041",2292.84728556483,-0.258609503125642,0.106331689121286,18.1803454553717,0.000112768588583372,0.000731219491317282
"GB40225",1957.24871672006,-0.625330602470168,0.148667805207405,18.5343781984325,9.44736971526753e-05,0.000635183798401101
"GB54829",2183.74146293758,0.0470763779421821,0.0468501282110561,8.47691554652306,0.0144298287592656,0.0387253511665591
"GB41414",2411.52910650629,-0.244914371059675,0.0806606641300207,17.8661529714718,0.000131951452682365,0.000829065725100766
"GB48825",2051.88287922489,0.146367034547778,0.0817569369028594,4.63694944062377,0.0984235946821792,0.176571763668633
"GB50193",2312.8336520792,-0.226426227462862,0.0474850416343839,22.9707686028275,1.027923927241e-05,0.000103042711983679
"GB50136",2510.30442200914,0.0832767790612432,0.0699482803007445,1.4331410274533,0.488424431853521,0.59535621118376
"GB45935",2136.79474987175,-0.291882307817212,0.0643921603295718,21.2362679118912,2.44682559522378e-05,0.000208159609471004
"GB51716",2221.72659632045,0.33096692753657,0.0938410670571255,13.9883575832206,0.000917205700755291,0.00409676651989439
"GB50192",2086.50511470942,0.233603486939565,0.0669875916845161,13.5337288934578,0.00115129895641121,0.00496509833821002
"GB53010",2282.82728523981,0.107281591016918,0.107280222017469,1.8075174772016,0.405044339103222,0.518484382716042
"GB44886",2202.75428873914,0.0192982035660176,0.069912701602924,4.16567904308988,0.124575973341879,0.211623268878557
"GB40975",3905.37178730194,0.0117540995886991,0.112053103954848,9.45888000460945,0.00883141522740401,0.0261019908020412
"GB55574",2108.18315696429,0.0791818289365732,0.0906068618311844,11.0615081315026,0.00396299959982636,0.0136976809028668
"GB44030",2695.29908155547,0.170825074517169,0.0535559191379867,13.1456296827291,0.00139785712304231,0.00581233455429876
"GB53194",2277.00444378487,0.17432226728471,0.109343565153511,2.67475068369708,0.262533826643574,0.374448883625645
"GB42526",2369.48816397909,0.103915758603509,0.0511965985242361,4.12146337135789,0.127360747759134,0.215407621226548
"GB44412",2394.96129679762,-0.316559730078408,0.046797993157288,83.3862017958867,7.81477262643047e-19,1.66207189143132e-16
"GB54485",2461.72694773947,-0.467067241220468,0.0758150976750388,37.9185554259171,5.83566440070784e-09,1.91930189220188e-07
"GB47113",2279.10335062576,-0.353233363484359,0.0960426923421699,14.7193629599428,0.000636401133766211,0.00302583251747282
"GB54668",2120.35247931728,-0.672159795241057,0.167750842366987,16.0375077738859,0.000329230025139465,0.00176229209345835
"GB51489",2264.43524035195,-0.284303210302428,0.0587345860037799,43.5388232055304,3.51289093671402e-10,1.63010913612391e-08
"GB44291",2407.42783703184,-0.0716217139641586,0.0417932753005451,4.16885705306493,0.124378178688876,0.211456160171696
"GB43906",2176.42502992567,-0.599241326973593,0.125410707575446,22.8671288659575,1.08259510298985e-05,0.000107761280103382
"GB45878",2058.88878715787,0.182675345119641,0.0649635331018003,11.2665254567212,0.00357688586098394,0.012598575896223
"GB40461",2348.65174140205,-0.0656790126816314,0.0541038564344518,17.8907880780014,0.000130336102639325,0.000822561328279145
"GB49967",2261.52827855054,-0.504591129016407,0.105155368251858,23.2742742711565,8.83192875122987e-06,9.05783946974728e-05
"GB51683",2290.83573833011,0.0184159645904326,0.0729773987227546,0.415829388442035,0.812276325621231,0.862422680027667
"GB43077",2494.58168160521,0.139637262892962,0.07444951874118,21.5627679025594,2.07828183957733e-05,0.00018315576350032
