taget_id	GeneID
GB44767-RA	GB44767
GB44768-RA	GB44768
GB44769-RA	GB44769
GB44757-RA	GB44757
GB44756-RA	GB44756
GB44755-RA	GB44755
GB44770-RA	GB44770
GB44754-RA	GB44754
GB44753-RA	GB44753
GB44752-RA	GB44752
GB44771-RA	GB44771
GB44772-RA	GB44772
GB44751-RA	GB44751
GB44750-RA	GB44750
GB44749-RA	GB44749
GB44747-RA	GB44747
GB44746-RA	GB44746
GB44745-RA	GB44745
GB44773-RA	GB44773
GB44744-RA	GB44744
GB44774-RA	GB44774
GB44775-RA	GB44775
GB44776-RA	GB44776
GB44777-RA	GB44777
GB44743-RA	GB44743
GB44779-RA	GB44779
GB44742-RA	GB44742
GB44780-RA	GB44780
GB44781-RA	GB44781
GB44782-RA	GB44782
GB44783-RA	GB44783
GB44740-RA	GB44740
GB44785-RA	GB44785
GB44739-RA	GB44739
GB44786-RA	GB44786
GB44738-RA	GB44738
GB44787-RA	GB44787
GB44788-RA	GB44788
GB44735-RA	GB44735
GB44789-RA	GB44789
GB44734-RA	GB44734
GB44791-RA	GB44791
GB44733-RA	GB44733
GB44732-RA	GB44732
GB44792-RA	GB44792
GB44731-RA	GB44731
GB44793-RA	GB44793
GB44730-RA	GB44730
GB44729-RA	GB44729
GB44794-RA	GB44794
GB44728-RA	GB44728
GB44795-RA	GB44795
GB44796-RA	GB44796
GB44797-RA	GB44797
GB44727-RA	GB44727
GB44798-RA	GB44798
GB44726-RA	GB44726
GB44799-RA	GB44799
GB44725-RA	GB44725
GB44800-RA	GB44800
GB44801-RA	GB44801
GB44724-RA	GB44724
GB44802-RA	GB44802
GB44723-RA	GB44723
GB44803-RA	GB44803
GB44722-RA	GB44722
GB44721-RA	GB44721
GB44804-RA	GB44804
GB44805-RA	GB44805
GB44807-RA	GB44807
GB44808-RA	GB44808
GB44718-RA	GB44718
GB44809-RA	GB44809
GB44810-RA	GB44810
GB44811-RA	GB44811
GB44812-RA	GB44812
GB44813-RA	GB44813
GB46463-RA	GB46463
GB46464-RA	GB46464
GB46462-RA	GB46462
GB46465-RA	GB46465
GB46461-RA	GB46461
GB46460-RA	GB46460
GB46466-RA	GB46466
GB46459-RA	GB46459
GB46467-RA	GB46467
GB46458-RA	GB46458
GB46468-RA	GB46468
GB46469-RA	GB46469
GB46457-RA	GB46457
GB46470-RA	GB46470
GB46471-RA	GB46471
GB46472-RA	GB46472
GB46456-RA	GB46456
GB46455-RA	GB46455
GB46474-RA	GB46474
GB46453-RA	GB46453
GB46452-RA	GB46452
GB46475-RA	GB46475
GB46450-RA	GB46450
GB46476-RA	GB46476
GB46477-RA	GB46477
GB46449-RA	GB46449
GB46478-RA	GB46478
GB46448-RA	GB46448
GB46447-RA	GB46447
GB46479-RA	GB46479
GB46480-RA	GB46480
GB46481-RA	GB46481
GB46482-RA	GB46482
GB46483-RA	GB46483
GB46484-RA	GB46484
