background,MEdarkgrey,MElightgreen,MEpink,MEdarkgreen,MEcyan,MElightcyan,MEyellow,MEsteelblue,MEskyblue,MEsaddlebrown,MEsalmon,MEgreenyellow,MEorange,MEmidnightblue,MEwhite,MEred,MEbrown,MEviolet,MEgrey60,MEdarkorange,MElightyellow,MEmagenta,MEpurple
GB14259,GB55452,GB51729,GB45440,GB54153,GB49799,GB52290,GB42036,,LOC113218784,,GB47110,GB44992,GB51486,GB46930,LOC107965828,GB44134,GB42356,,GB49845,LOC102656621,GB51909,GB44796,GB46268
GB14288,GB55701,GB51783,GB45464,GB54355,GB49801,GB52369,GB42089,,LOC113218823,,GB47201,GB45014,GB51490,GB47008,LOC113218555,GB44159,GB42358,,GB49887,LOC107964323,GB52043,GB44865,GB46345
GB14293,LOC100576453,GB52957,GB45596,GB54432,GB49843,GB52385,GB42106,,LOC113219053,,GB47269,GB45041,GB51655,GB47321,LOC113218742,GB44197,GB42384,,GB49908,LOC107964821,GB52161,GB44868,GB46478
GB14455,LOC100576503,GB53406,GB45717,GB54723,GB49862,GB52505,GB42161,,LOC113219115,,GB47338,GB45046,GB51702,GB47324,LOC113218979,GB44213,GB42418,,GB49924,LOC107964838,GB52260,GB44897,GB46487
GB14502,LOC100578618,GB53576,GB45775,GB54817,GB49885,GB52531,GB42168,,LOC113219186,,GB47391,GB45084,GB51727,GB47753,LOC113219109,GB44222,GB42426,,GB49955,LOC107964884,GB52569,GB44902,GB46614
GB14553,LOC102654271,GB53578,GB45841,GB54818,GB49890,GB52736,GB42296,,LOC113219245,,GB47419,GB45096,GB51755,GB47821,LOC113219234,GB44237,GB42527,,GB50192,LOC107965218,GB52571,GB44918,GB46700
GB14569,LOC102654550,GB53579,GB45950,GB54893,GB49990,GB52756,GB42537,,LOC113219358,,GB47488,GB45175,GB51822,GB48048,Mir6039,GB44288,GB42533,,GB50239,LOC107965675,GB52718,GB44995,GB47009
GB14598,LOC102654806,GB53931,GB46056,GB55183,GB50005,GB52955,GB42612,,,,GB47543,GB45297,GB51866,GB48230,,GB44296,GB42541,,GB50272,LOC113218846,GB52767,GB45179,GB47018
GB14620,LOC102654968,GB54136,GB46087,GB55274,GB50062,GB53331,GB42648,,,,GB47547,GB45364,GB51893,GB48457,,GB44504,GB42560,,GB50411,LOC113218924,GB53009,GB45186,GB47028
GB14733,LOC102655058,GB54139,GB46140,GB55328,GB50157,GB53404,GB42679,,,,GB47554,GB45397,GB52307,GB48661,,GB44543,GB42576,,GB50438,LOC113218958,GB53118,GB45192,GB47204
GB14753,LOC102655319,GB54255,GB46224,GB55483,GB50195,GB53624,GB42685,,,,GB47748,GB45420,GB52420,GB48667,,GB44658,GB42584,,GB50441,LOC113219041,GB53122,GB45295,GB47239
GB14793,LOC102655339,GB54316,GB46228,GB55598,GB50241,GB53792,GB42696,,,,GB47808,GB45436,GB52437,GB48857,,GB44711,GB42585,,GB50466,LOC113219296,GB53688,GB45357,GB47351
GB14841,LOC102655442,GB54319,GB46231,GB56009,GB50722,GB53805,GB42697,,,,GB47882,GB45557,GB52567,GB49086,,GB44726,GB42593,,GB50482,LOC113219326,GB53912,GB45366,GB47370
GB14937,LOC102655512,GB54499,GB46422,LOC100576814,GB50866,GB53832,GB42798,,,,GB48038,GB45662,GB52576,GB49230,,GB44744,GB42594,,GB50505,Mir318,GB54144,GB45375,GB47425
GB14943,LOC102655710,GB54605,GB46444,LOC100577544,GB50906,GB54020,GB42809,,,,GB48074,GB45817,GB52697,GB49370,,GB44798,GB42613,,GB50525,Mir989,GB54231,GB45510,GB47490
GB14946,LOC102656190,GB54923,GB46579,LOC102653609,GB51189,GB54123,GB42887,,,,GB48086,GB45825,GB52725,GB49412,,GB44821,GB42647,,GB50540,,GB54250,GB45544,GB47625
GB14963,LOC102656292,GB55007,GB46629,LOC102653977,GB51220,GB54300,GB43115,,,,GB48105,GB45862,GB52726,GB49506,,GB44890,GB42681,,GB50787,,GB54289,GB45657,GB47740
GB14998,LOC102656409,GB55144,GB46635,LOC102654095,GB51231,GB54506,GB43116,,,,GB48169,GB46067,GB52737,GB49807,,GB44898,GB42682,,GB50897,,GB54339,GB45830,GB47840
GB15085,LOC102656636,GB55170,GB46645,LOC102654353,GB51247,GB54522,GB43147,,,,GB48315,GB46182,GB53251,GB49953,,GB44944,GB42750,,GB51261,,GB54496,GB45878,GB47876
GB15087,LOC107963970,GB55207,GB46677,LOC102654569,GB51799,GB54525,GB43161,,,,GB48370,GB46189,GB53316,GB50018,,GB44961,GB42825,,GB51409,,GB54502,GB45985,GB47906
GB15106,LOC107963996,GB55264,GB46772,LOC102654837,GB52033,GB54569,GB43228,,,,GB48375,GB46306,GB53339,GB50251,,GB45051,GB42851,,GB51511,,GB54762,GB46027,GB47951
GB15109,LOC107964258,GB55280,GB46902,LOC102654893,GB52052,GB54611,GB43442,,,,GB48463,GB46375,GB53651,GB50323,,GB45070,GB42892,,GB51732,,GB54888,GB46060,GB48336
GB15119,LOC107964328,GB55746,GB47042,LOC102654905,GB52324,GB54806,GB43464,,,,GB48551,GB46450,GB53697,GB50747,,GB45073,GB42960,,GB51743,,GB54966,GB46122,GB48385
GB15128,LOC107964428,LOC100576903,GB47079,LOC102655046,GB52331,GB54847,GB43504,,,,GB48640,GB46621,GB53820,GB50834,,GB45091,GB42962,,GB51817,,GB55095,GB46255,GB48454
GB15216,LOC107964568,LOC100577071,GB47273,LOC102655229,GB52363,GB55510,GB43548,,,,GB49080,GB46641,GB54332,GB50920,,GB45170,GB42963,,GB51841,,GB55468,GB46472,GB48571
GB15285,LOC107964959,LOC100577107,GB47279,LOC102655585,GB52543,GB55630,GB43559,,,,GB49285,GB46727,GB54512,GB50935,,GB45211,GB43113,,GB52381,,GB55642,GB46511,GB48650
GB15384,LOC107964981,LOC100577262,GB47304,LOC102656174,GB52634,GB55638,GB43634,,,,GB49409,GB46740,GB54968,GB51074,,GB45213,GB43114,,GB52432,,GB55656,GB46585,GB48658
GB15436,LOC107965032,LOC100577278,GB47497,LOC102656212,GB52716,GB55846,GB43704,,,,GB49491,GB46784,GB54974,GB51076,,GB45255,GB43122,,GB52451,,GB55704,GB46598,GB48868
GB15446,LOC107965347,LOC100577603,GB47546,LOC102656448,GB52724,GB55851,GB43708,,,,GB49556,GB46877,GB55078,GB51129,,GB45277,GB43128,,GB52742,,GB55986,GB46651,GB48978
GB15623,LOC107965583,LOC100577646,GB47662,LOC102656644,GB52923,GB55921,GB43731,,,,GB49646,GB46897,GB55080,GB51331,,GB45416,GB43168,,GB52819,,GB55995,GB46653,GB48999
GB15667,LOC107965724,LOC100577759,GB47736,LOC102656656,GB53354,GB56027,GB43815,,,,GB49837,GB46910,GB55142,GB51332,,GB45486,GB43182,,GB52827,,GB56032,GB46655,GB49010
GB15711,LOC107965814,LOC100578367,GB47902,LOC102656723,GB53554,LOC100576189,GB43844,,,,GB50097,GB46963,GB55283,GB51426,,GB45508,GB43189,,GB52829,,ID=r28332;codons=44%2C45%2C46%2C47;gbkey=tR;product=tR-Ser,GB46773,GB49171
GB15798,LOC113218585,LOC100578678,GB47934,LOC102656757,GB53695,LOC100576207,GB43989,,,,GB50261,GB46973,GB55476,GB51427,,GB45521,GB43191,,GB53268,,ID=r28343;anticodon=(pos:6149..6151);gbkey=tR;product=tR-Gly,GB47021,GB49260
GB15805,LOC113218635,LOC100578777,GB48129,LOC107964175,GB53791,LOC100576277,GB44033,,,,GB50282,GB46974,GB55484,GB51508,,GB45645,GB43211,,GB53375,,LOC100577073,GB47090,GB49282
GB15814,LOC113218660,LOC100579059,GB48148,LOC107965562,GB53798,LOC100576519,GB44048,,,,GB50287,GB47162,GB55504,GB51602,,GB45690,GB43231,,GB53385,,LOC100577215,GB47180,GB49511
GB15924,LOC113218844,LOC102653666,GB48174,LOC107965722,GB53803,LOC100576637,GB44084,,,,GB50339,GB47195,GB55579,GB51635,,GB45764,GB43238,,GB53389,,LOC100578368,GB47186,GB49574
GB15953,LOC113218853,LOC102653714,GB48195,LOC107966106,GB53925,LOC100577017,GB44106,,,,GB50345,GB47272,GB55645,GB51718,,GB46001,GB43300,,GB53411,,LOC100578841,GB47411,GB49732
GB15968,LOC113218919,LOC102654030,GB48277,LOC113218519,GB53962,LOC100577731,GB44116,,,,GB50367,GB47344,GB55853,GB51802,,GB46062,GB43332,,GB53412,,LOC102653853,GB47489,GB49844
