BP_5day,BP_15day,NvF_whitfield,Microarray Background
,,GB44772,GB40331
,,GB44777,GB40331
,,GB44804,GB40331
,,GB44826,GB40331
,,GB44829,GB40331
,,GB44838,GB40332
,,GB44841,GB40332
,,GB44868,GB40333
,,GB44878,GB40333
,,GB44893,GB40335
,,GB44935,GB40335
,,GB44937,GB40337
,,GB44944,GB40337
,,GB44948,GB40338
,,GB44967,GB40338
,,GB44978,GB40339
,,GB44985,GB40339
,,GB45025,GB40340
,,GB45026,GB40340
,,GB45028,GB40341
,,GB45040,GB40341
,,GB45067,GB40343
,,GB45094,GB40343
,,GB45105,GB40344
,,GB45114,GB40344
,,GB45126,GB40346
,,GB45153,GB40346
,,GB45156,GB40349
,,GB45159,GB40349
,,GB45169,GB40350
,,GB45172,GB40350
,,GB45174,GB40355
,,GB45211,GB40355
,,GB45220,GB40357
,,GB45227,GB40357
,,GB45230,GB40358
,,GB45259,GB40358
,,GB45273,GB40359
,,GB45279,GB40359
,,GB45285,GB40360
,,GB45286,GB40360
,,GB45288,GB40361
,,GB45298,GB40361
,,GB45303,GB40362
,,GB45324,GB40362
,,GB45334,GB40363
,,GB45354,GB40363
,,GB45365,GB40364
,,GB45369,GB40364
,,GB45375,GB40365
,,GB45381,GB40365
,,GB45382,GB40377
,,GB45393,GB40377
,,GB45399,GB40382
,,GB45400,GB40382
,,GB45433,GB40386
,,GB45437,GB40386
,,GB45456,GB40388
,,GB45474,GB40388
,,GB45487,GB40390
,,GB45495,GB40390
,,GB45537,GB40391
,,GB45554,GB40391
,,GB45562,GB40392
,,GB45565,GB40392
,,GB45566,GB40393
,,GB45596,GB40393
,,GB45617,GB40395
,,GB45624,GB40395
,,GB45628,GB40398
,,GB45654,GB40398
,,GB45701,GB40399
,,GB45732,GB40399
,,GB45758,GB40401
,,GB45798,GB40401
,,GB45806,GB40405
,,GB45818,GB40405
,,GB45824,GB40407
,,GB45850,GB40407
,,GB45853,GB40408
,,GB45860,GB40408
,,GB45864,GB40409
,,GB45866,GB40409
,,GB45906,GB40410
,,GB45907,GB40410
,,GB45908,GB40411
,,GB45909,GB40411
,,GB45910,GB40412
,,GB45913,GB40412
,,GB45955,GB40414
,,GB45958,GB40414
,,GB46008,GB40416
,,GB46013,GB40416
,,GB46039,GB40417
,,GB46041,GB40417
,,GB46068,GB40425
,,GB46076,GB40425
,,GB46121,GB40426
,,GB46122,GB40426
,,GB46140,GB40427
,,GB46143,GB40427
,,GB46145,GB40428
,,GB46146,GB40428
,,GB46178,GB40429
,,GB46183,GB40429
,,GB46190,GB40431
,,GB46201,GB40431
,,GB46220,GB40434
,,GB46226,GB40434
,,GB46230,GB40436
,,GB46240,GB40436
,,GB46259,GB40437
,,GB46277,GB40437
,,GB46300,GB40438
,,GB46307,GB40438
,,GB46314,GB40439
,,GB46322,GB40439
,,GB46337,GB40440
,,GB46338,GB40440
,,GB46363,GB40441
,,GB46365,GB40441
,,GB46369,GB40442
,,GB46373,GB40442
,,GB46457,GB40444
,,GB46460,GB40444
,,GB46490,GB40445
,,GB46503,GB40445
,,GB46535,GB40446
,,GB46540,GB40446
,,GB46569,GB40447
,,GB46622,GB40447
,,GB46657,GB40448
,,GB46673,GB40448
,,GB46697,GB40451
,,GB46707,GB40451
,,GB46709,GB40452
,,GB46713,GB40452
,,GB46728,GB40453
,,GB46741,GB40453
,,GB46750,GB40456
,,GB46767,GB40456
,,GB46768,GB40457
,,GB46774,GB40457
,,GB46785,GB40460
,,GB46813,GB40460
,,GB46845,GB40461
,,GB46853,GB40461
,,GB46888,GB40462
,,GB46895,GB40462
,,GB46911,GB40463
,,GB46928,GB40463
,,GB46930,GB40466
,,GB46962,GB40466
,,GB46985,GB40467
,,GB47022,GB40467
,,GB47026,GB40473
,,GB47045,GB40473
,,GB47046,GB40478
,,GB47076,GB40478
,,GB47079,GB40479
,,GB47107,GB40479
,,GB47109,GB40480
,,GB47114,GB40480
,,GB47133,GB40481
,,GB47141,GB40481
,,GB47142,GB40483
,,GB47143,GB40483
,,GB47148,GB40489
,,GB47160,GB40489
,,GB47181,GB40490
,,GB47183,GB40490
,,GB47186,GB40491
,,GB47193,GB40491
,,GB47199,GB40492
,,GB47224,GB40492
,,GB47235,GB40493
,,GB47247,GB40493
,,GB47248,GB40495
,,GB47266,GB40495
,,GB47303,GB40495
,,GB47342,GB40495
,,GB47350,GB40496
,,GB47351,GB40496
,,GB47375,GB40498
,,GB47393,GB40498
,,GB47394,GB40500
,,GB47414,GB40500
,,GB47415,GB40501
,,GB47433,GB40501
,,GB47462,GB40502
,,GB47463,GB40502
,,GB47475,GB40503
,,GB47482,GB40503
,,GB47495,GB40504
,,GB47540,GB40504
,,GB47553,GB40508
,,GB47574,GB40508
,,GB47577,GB40509
,,GB47617,GB40509
,,GB47623,GB40510
,,GB47631,GB40510
,,GB47635,GB40513
,,GB47636,GB40513
,,GB47649,GB40514
,,GB47651,GB40514
,,GB47659,GB40515
,,GB47668,GB40515
,,GB47670,GB40516
,,GB47675,GB40516
,,GB47718,GB40517
,,GB47736,GB40517
,,GB47814,GB40519
,,GB47815,GB40519
,,GB47816,GB40522
,,GB47821,GB40522
,,GB47847,GB40531
,,GB47850,GB40531
,,GB47886,GB40534
,,GB47901,GB40534
,,GB47928,GB40535
,,GB47934,GB40535
,,GB47962,GB40536
,,GB47970,GB40536
,,GB47973,GB40537
,,GB47991,GB40537
,,GB47992,GB40538
,,GB48039,GB40538
,,GB48100,GB40539
,,GB48105,GB40539
,,GB48122,GB40540
,,GB48125,GB40540
,,GB48132,GB40541
,,GB48144,GB40541
,,GB48150,GB40543
,,GB48154,GB40543
,,GB48193,GB40545
,,GB48220,GB40545
,,GB48232,GB40548
,,GB48233,GB40548
,,GB48239,GB40553
,,GB48241,GB40553
,,GB48338,GB40555
,,GB48409,GB40555
,,GB48412,GB40556
,,GB48424,GB40556
,,GB48435,GB40558
,,GB48436,GB40558
,,GB48445,GB40559
,,GB48498,GB40559
,,GB48524,GB40560
,,GB48552,GB40560
,,GB48560,GB40561
,,GB48567,GB40561
,,GB48581,GB40562
,,GB48628,GB40562
,,GB48634,GB40564
,,GB48674,GB40564
,,GB48676,GB40565
,,GB48682,GB40565
,,GB48737,GB40566
,,GB48746,GB40566
,,GB48748,GB40566
,,GB48768,GB40566
,,GB48788,GB40567
,,GB48790,GB40567
,,GB48794,GB40571
,,GB48812,GB40571
,,GB48826,GB40574
,,GB48845,GB40574
,,GB48863,GB40576
,,GB48905,GB40576
,,GB48938,GB40577
,,GB48943,GB40577
,,GB48951,GB40578
,,GB48956,GB40578
,,GB49000,GB40580
,,GB49012,GB40580
,,GB49031,GB40583
,,GB49033,GB40583
,,GB49038,GB40590
,,GB49076,GB40590
,,GB49078,GB40591
,,GB49083,GB40591
,,GB49089,GB40592
,,GB49109,GB40592
,,GB49111,GB40595
,,GB49112,GB40595
,,GB49116,GB40596
,,GB49117,GB40596
,,GB49154,GB40598
,,GB49161,GB40598
,,GB49189,GB40599
,,GB49233,GB40599
,,GB49240,GB40601
,,GB49249,GB40601
,,GB49275,GB40603
,,GB49285,GB40603
,,GB49305,GB40604
,,GB49306,GB40604
,,GB49309,GB40607
,,GB49321,GB40607
,,GB49363,GB40610
,,GB49376,GB40610
,,GB49377,GB40611
,,GB49380,GB40611
,,GB49409,GB40614
,,GB49415,GB40614
,,GB49438,GB40615
,,GB49443,GB40615
,,GB49449,GB40616
,,GB49463,GB40616
,,GB49521,GB40616
,,GB49538,GB40616
,,GB49552,GB40617
,,GB49554,GB40617
,,GB49555,GB40619
,,GB49562,GB40619
,,GB49571,GB40624
,,GB49582,GB40624
,,GB49605,GB40625
,,GB49609,GB40625
,,GB49626,GB40627
,,GB49632,GB40627
,,GB49637,GB40634
,,GB49638,GB40634
,,GB49640,GB40635
,,GB49650,GB40635
,,GB49660,GB40637
,,GB49672,GB40637
,,GB49692,GB40638
,,GB49706,GB40638
,,GB49728,GB40639
,,GB49754,GB40639
,,GB49781,GB40641
,,GB49784,GB40641
,,GB49789,GB40644
,,GB49800,GB40644
,,GB49801,GB40652
,,GB49803,GB40652
,,GB49814,GB40653
,,GB49837,GB40653
,,GB49885,GB40655
,,GB49939,GB40655
,,GB49942,GB40656
,,GB49970,GB40656
,,GB49989,GB40657
,,GB49994,GB40657
,,GB50005,GB40658
,,GB50013,GB40658
,,GB50076,GB40659
,,GB50080,GB40659
,,GB50098,GB40663
,,GB50103,GB40663
,,GB50108,GB40665
,,GB50121,GB40665
,,GB50138,GB40666
,,GB50141,GB40666
,,GB50158,GB40667
,,GB50167,GB40667
,,GB50174,GB40669
,,GB50179,GB40669
,,GB50180,GB40669
,,GB50189,GB40669
,,GB50209,GB40670
,,GB50226,GB40670
,,GB50239,GB40671
,,GB50271,GB40671
,,GB50296,GB40672
,,GB50322,GB40672
,,GB50338,GB40673
,,GB50342,GB40673
,,GB50344,GB40674
,,GB50372,GB40674
,,GB50377,GB40676
,,GB50402,GB40676
,,GB50415,GB40678
,,GB50420,GB40678
,,GB50447,GB40681
,,GB50451,GB40681
,,GB50459,GB40684
,,GB50470,GB40684
,,GB50475,GB40686
,,GB50503,GB40686
,,GB50513,GB40690
,,GB50526,GB40690
,,GB50527,GB40691
,,GB50534,GB40691
,,GB50572,GB40693
,,GB50598,GB40693
,,GB50604,GB40696
,,GB50605,GB40696
,,GB50627,GB40697
,,GB50634,GB40697
,,GB50642,GB40699
,,GB50651,GB40699
,,GB50680,GB40700
,,GB50691,GB40700
,,GB50694,GB40701
,,GB50699,GB40701
,,GB50704,GB40703
,,GB50723,GB40703
,,GB50728,GB40704
,,GB50729,GB40704
,,GB50730,GB40706
,,GB50756,GB40706
,,GB50767,GB40707
,,GB50777,GB40707
,,GB50796,GB40708
,,GB50809,GB40708
,,GB50824,GB40710
,,GB50825,GB40710
,,GB50831,GB40711
,,GB50832,GB40711
,,GB50857,GB40712
,,GB50869,GB40712
,,GB50871,GB40713
,,GB50873,GB40713
,,GB50877,GB40715
,,GB50890,GB40715
,,GB50900,GB40716
,,GB50936,GB40716
,,GB50965,GB40717
,,GB51009,GB40717
,,GB51030,GB40718
,,GB51041,GB40718
,,GB51043,GB40719
,,GB51050,GB40719
,,GB51068,GB40720
,,GB51079,GB40720
,,GB51081,GB40723
,,GB51088,GB40723
,,GB51091,GB40726
,,GB51095,GB40726
,,GB51155,GB40727
,,GB51197,GB40727
,,GB51198,GB40728
,,GB51227,GB40728
,,GB51254,GB40730
,,GB51303,GB40730
,,GB51307,GB40731
,,GB51335,GB40731
,,GB51391,GB40732
,,GB51408,GB40732
,,GB51429,GB40733
,,GB51495,GB40733
,,GB51499,GB40734
,,GB51513,GB40734
,,GB51530,GB40740
,,GB51541,GB40740
,,GB51551,GB40741
,,GB51555,GB40741
,,GB51571,GB40744
,,GB51586,GB40744
,,GB51600,GB40745
,,GB51607,GB40745
,,GB51626,GB40746
,,GB51644,GB40746
,,GB51651,GB40747
,,GB51655,GB40747
,,GB51698,GB40748
,,GB51704,GB40748
,,GB51716,GB40749
,,GB51720,GB40749
,,GB51723,GB40750
,,GB51727,GB40750
,,GB51728,GB40751
,,GB51739,GB40751
,,GB51740,GB40754
,,GB51741,GB40754
,,GB51743,GB40760
,,GB51757,GB40760
,,GB51759,GB40763
,,GB51763,GB40763
,,GB51764,GB40765
,,GB51775,GB40765
,,GB51787,GB40766
,,GB51849,GB40766
,,GB51884,GB40767
,,GB51897,GB40767
,,GB51909,GB40768
,,GB51917,GB40768
,,GB51924,GB40769
,,GB51993,GB40769
,,GB51997,GB40770
,,GB52007,GB40770
,,GB52010,GB40771
,,GB52025,GB40771
,,GB52071,GB40775
,,GB52072,GB40775
,,GB52073,GB40776
,,GB52098,GB40776
,,GB52102,GB40778
,,GB52118,GB40778
,,GB52151,GB40779
,,GB52156,GB40779
,,GB52203,GB40780
,,GB52204,GB40780
,,GB52262,GB40781
,,GB52322,GB40781
,,GB52324,GB40782
,,GB52345,GB40782
,,GB52347,GB40783
,,GB52348,GB40783
,,GB52349,GB40784
,,GB52369,GB40784
,,GB52378,GB40785
,,GB52420,GB40785
,,GB52427,GB40789
,,GB52454,GB40789
,,GB52456,GB40794
,,GB52497,GB40794
,,GB52505,GB40795
,,GB52514,GB40795
,,GB52526,GB40796
,,GB52543,GB40796
,,GB52591,GB40798
,,GB52612,GB40798
,,GB52624,GB40799
,,GB52643,GB40799
,,GB52652,GB40800
,,GB52656,GB40800
,,GB52693,GB40801
,,GB52702,GB40801
,,GB52715,GB40802
,,GB52724,GB40802
,,GB52728,GB40804
,,GB52741,GB40804
,,GB52747,GB40805
,,GB52753,GB40805
,,GB52756,GB40806
,,GB52781,GB40806
,,GB52804,GB40807
,,GB52813,GB40807
,,GB52819,GB40808
,,GB52882,GB40808
,,GB52917,GB40809
,,GB52946,GB40809
,,GB52983,GB40810
,,GB52991,GB40810
,,GB52992,GB40816
,,GB53012,GB40816
,,GB53017,GB40818
,,GB53025,GB40818
,,GB53030,GB40823
,,GB53065,GB40823
,,GB53068,GB40824
,,GB53086,GB40824
,,GB53114,GB40830
,,GB53118,GB40830
,,GB53132,GB40831
,,GB53138,GB40831
,,GB53149,GB40833
,,GB53151,GB40833
,,GB53190,GB40836
,,GB53195,GB40836
,,GB53219,GB40837
,,GB53287,GB40837
,,GB53314,GB40838
,,GB53359,GB40838
,,GB53360,GB40839
,,GB53372,GB40839
,,GB53395,GB40839
,,GB53414,GB40839
,,GB53424,GB40843
,,GB53434,GB40843
,,GB53508,GB40845
,,GB53614,GB40845
,,GB53620,GB40856
,,GB53621,GB40856
,,GB53624,GB40857
,,GB53627,GB40857
,,GB53655,GB40858
,,GB53656,GB40858
,,GB53668,GB40859
,,GB53669,GB40859
,,GB53710,GB40861
,,GB53713,GB40861
,,GB53722,GB40863
,,GB53750,GB40863
,,GB53777,GB40864
,,GB53799,GB40864
,,GB53805,GB40866
,,GB53811,GB40866
,,GB53819,GB40868
,,GB53827,GB40868
,,GB53876,GB40871
,,GB53912,GB40871
,,GB53932,GB40872
,,GB53935,GB40872
,,GB53957,GB40873
,,GB53968,GB40873
,,GB53976,GB40874
,,GB54020,GB40874
,,GB54049,GB40875
,,GB54085,GB40875
,,GB54109,GB40876
,,GB54131,GB40876
,,GB54132,GB40877
,,GB54141,GB40877
,,GB54170,GB40878
,,GB54172,GB40878
,,GB54210,GB40880
,,GB54212,GB40880
,,GB54219,GB40881
,,GB54231,GB40881
,,GB54237,GB40882
,,GB54246,GB40882
,,GB54253,GB40883
,,GB54254,GB40883
,,GB54258,GB40885
,,GB54309,GB40885
,,GB54313,GB40886
,,GB54315,GB40886
,,GB54331,GB40887
,,GB54343,GB40887
,,GB54363,GB40888
,,GB54371,GB40888
,,GB54372,GB40890
,,GB54388,GB40890
,,GB54404,GB40891
,,GB54467,GB40891
,,GB54485,GB40892
,,GB54503,GB40892
,,GB54507,GB40893
,,GB54508,GB40893
,,GB54607,GB40895
,,GB54611,GB40895
,,GB54623,GB40899
,,GB54639,GB40899
,,GB54646,GB40901
,,GB54655,GB40901
,,GB54656,GB40903
,,GB54677,GB40903
,,GB54683,GB40906
,,GB54748,GB40906
,,GB54753,GB40907
,,GB54761,GB40907
,,GB54783,GB40908
,,GB54809,GB40908
,,GB54817,GB40909
,,GB54818,GB40909
,,GB54829,GB40911
,,GB54830,GB40911
,,GB54837,GB40916
,,GB54838,GB40916
,,GB54851,GB40923
,,GB54889,GB40923
,,GB54904,GB40925
,,GB54918,GB40925
,,GB54932,GB40926
,,GB54938,GB40926
,,GB54947,GB40928
,,GB54967,GB40928
,,GB54970,GB40931
,,GB54978,GB40931
,,GB54979,GB40932
,,GB54984,GB40932
,,GB54996,GB40933
,,GB55004,GB40933
,,GB55012,GB40934
,,GB55013,GB40934
,,GB55071,GB40935
,,GB55076,GB40935
,,GB55135,GB40937
,,GB55139,GB40937
,,GB55157,GB40938
,,GB55161,GB40938
,,GB55162,GB40939
,,GB55164,GB40939
,,GB55170,GB40941
,,GB55193,GB40941
,,GB55219,GB40944
,,GB55220,GB40944
,,GB55222,GB40945
,,GB55226,GB40945
,,GB55231,GB40947
,,GB55232,GB40947
,,GB55304,GB40947
,,GB55362,GB40947
,,GB55374,GB40948
,,GB55378,GB40948
,,GB55387,GB40949
,,GB55400,GB40949
,,GB55419,GB40955
,,GB55421,GB40955
,,GB55443,GB40960
,,GB55499,GB40960
,,GB55501,GB40966
,,GB55513,GB40966
,,GB55515,GB40968
,,GB55539,GB40968
,,GB55563,GB40971
,,GB55564,GB40971
,,GB55568,GB40976
,,GB55574,GB40976
,,GB55586,GB40977
,,GB55590,GB40977
,,GB55593,GB40978
,,GB55600,GB40978
,,GB55601,GB40980
,,GB55619,GB40980
,,GB55630,GB40983
,,GB55632,GB40983
,,GB55643,GB40984
,,GB55658,GB40984
,,GB55662,GB40986
,,GB55708,GB40986
,,GB55730,GB40992
,,GB55752,GB40992
,,GB55753,GB40993
,,GB55757,GB40993
,,GB55825,GB40994
,,GB55827,GB40994
,,GB55849,GB40996
,,GB55853,GB40996
,,GB55885,GB40997
,,GB55906,GB40997
,,GB55913,GB40998
,,GB55920,GB40998
,,GB55921,GB41000
,,GB55930,GB41000
,,GB55944,GB41007
,,GB55964,GB41007
,,GB55966,GB41009
,,GB55975,GB41009
,,GB55982,GB41011
,,GB55994,GB41011
,,GB56001,GB41015
,,GB56025,GB41015
,,,GB41020
,,,GB41020
,,,GB41024
127,104,1045,GB41024
BP_5day,BP_15day,NvF_whitfield,GB41025
,,,GB41025
,,,GB41027
,,,GB41027
,,,GB41028
,,,GB41028
,,,GB41029
,,,GB41029
,,,GB41030
,,,GB41030
,,,GB41031
,,,GB41031
,,,GB41032
,,,GB41032
,,,GB41033
,,,GB41033
,,,GB41034
,,,GB41034
,,,GB41035
,,,GB41035
,,,GB41036
,,,GB41036
,,,GB41037
,,,GB41037
,,,GB41038
,,,GB41038
,,,GB41039
,,,GB41039
,,,GB41042
,,,GB41042
,,,GB41043
,,,GB41043
,,,GB41046
,,,GB41046
,,,GB41047
,,,GB41047
,,,GB41052
,,,GB41052
,,,GB41063
,,,GB41063
,,,GB41065
,,,GB41065
,,,GB41066
,,,GB41066
,,,GB41068
,,,GB41068
,,,GB41069
,,,GB41069
,,,GB41078
,,,GB41078
,,,GB41079
,,,GB41079
